Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Hangover","Salman Khan","Kick","Sad🥺❤️","Playlist","INS181401386","0mboVyI4R4MPH23yceAMz3"
"Chand Se Parda","Kumar Sanu","Aao Pyar Karen","Sad🥺❤️","Playlist","INS939400046","77E9kDXT7gJIkxUaTPu6Ub"
"High On You","Jind Universe","High On You","Sad🥺❤️","Playlist","INS172412682","2eqUVYJVnlDs8PgOtuOlJm"
"Kya Mujhe Pyar Hai","Pritam","Woh Lamhe","Sad🥺❤️","Playlist","INS180602902","3HFjh7QljnUCBLsoTwMuTj"
"Aathma Raama","Brodha V","Aathma Raama","Sad🥺❤️","Playlist","ATR981133429","4oea0ZixIYD8B8pSQGpt6h"
"Tu Hi Hai Aashiqui - Duet","Palash Muchhal","Dishkiyaoon (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","GBSGZ1400135","59g5a4aZJGIcRJOWuYU06H"
"Shyama Pyari Kunj Bihari","Chitra Vichitra Ji Maharaj","Shyama Pyari Kunj Bihari","Sad🥺❤️","Playlist","ZA41S2301267","24qU1XQARnki72pPr5YqiN"
"Kishori Kuch","Jainen","Kishori Kuch","Sad🥺❤️","Playlist","AUBEC2170181","6GeR9HxmUv2IhA6eI2MySU"
"Tu Hi Mera","Pritam","Jannat 2 (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171200195","1CVqr5LImdmJ1Upt4z08Pm"
"Tujhe Bhula Diya","Vishal-Shekhar","Anjaana Anjaani","Sad🥺❤️","Playlist","INS181007761","4r8JqkhpTb5tzSKKHnVJIJ"
"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")","Arijit Singh","Arijit Singh Broken Strings","Sad🥺❤️","Playlist","INS181306923","43YkTTlOD203o9E5ZxhUjF"
"Lambiyaan Si Judaiyaan (From ""Raabta"")","Arijit Singh","Best Of Arijit Singh - Revisited","Sad🥺❤️","Playlist","INS181700909","1vsLKoccuY0NxkRJjZgcMr"
"Ek Din Teri Raahon","Javed Ali","Naqaab (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INT100700189","6UEhNvccAc4OyEDJYB5brb"
"Ordinary Person (From ""Leo"")","Anirudh Ravichander","Ordinary Person (From ""Leo"")","Sad🥺❤️","Playlist","INS172316356","6FahmzZYKH0zb2f9hrVsvw"
"Kaun Tujhe","Palak Muchhal","M.S.Dhoni - The Untold Story","Sad🥺❤️","Playlist","INS181601425","5T2ZZiBMDGh3TZDUbxg4rV"
"Tujhse Preet Lagi Hai Radhe","Krishna Chaturvedi","Tujhse Preet Lagi Hai Radhe","Sad🥺❤️","Playlist","INA2W2303270","362woqxRIE1Bh4tPgVFjAd"
"Maana Ke Hum Yaar Nahin","Sachin-Jigar","Meri Pyaari Bindu","Sad🥺❤️","Playlist","INY091700003","1O3WfEwaSpsgZ6tw8jNT8I"
"Humdard (From ""Ek Villain"")","Arijit Singh","Love Forever With Arijit Singh","Sad🥺❤️","Playlist","INS181401039","5ZGtdGwdocDZDniXHkmnVA"
"São Paulo (feat. Anitta)","The Weeknd","Hurry Up Tomorrow","Sad🥺❤️","Playlist","USUG12405846","7DY756WOLyOz2Xnhw4EFiC"
"Departure Lane","Talha Anjum","My Terrible Mind","Sad🥺❤️","Playlist","QMDA72466918","0phGG7spyLAEk69IMe8G29"
"Guzarish","A.R. Rahman","Ghajini","Sad🥺❤️","Playlist","INS180809764","2MvCNH9ua0CeOgUQfZf56z"
"Hua Hain Aaj Pehli Baar","Amaal Mallik","Sanam Re","Sad🥺❤️","Playlist","INS181600003","2ygHwkk6BE4o1YKF2jhrFX"
"Mere Haath Mein","Jatin-Lalit","Fanaa","Sad🥺❤️","Playlist","INY090600010","6oUK2k9OJ0WvmVveyauFB7"
"Khairiyat","Pritam","Chhichhore","Sad🥺❤️","Playlist","INS181904666","5O932cZmzOZGOGZz9RHx20"
"Rabba","Mohit Chauhan","Heropanti","Sad🥺❤️","Playlist","INS181400868","5jOHD4c6UayVZn9Xm7IvyO"
"Chand Sifarish","Jatin-Lalit","Fanaa","Sad🥺❤️","Playlist","INY090600009","5EYZZvmNAH5VZCwuzYJqoA"
"Baaton Ko Teri (From ""All Is Well"")","Arijit Singh","Love Forever With Arijit Singh","Sad🥺❤️","Playlist","INS181501065","7aYxXjYYI9iOzElV5WimLt"
"Main Agar Saamne","Abhijeet","Raaz (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INT100100006","42OnkdXwkKo5NzkdOmvE75"
"Kaabil Hoon","Jubin Nautiyal","Kaabil","Sad🥺❤️","Playlist","INS181602083","0Bph99neebTJZ6rsIhd0sN"
"Dil Kehta Hai","Kumar Sanu","Akele Hum Akele Tum (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INV119500461","6IENsn6l4ngqL6C2ucuKia"
"Jab Tak","Armaan Malik","M.S.Dhoni - The Untold Story","Sad🥺❤️","Playlist","INS181601485","35RWttZt8zGGzT0mWtlXpn"
"Maan Meri Jaan","King","Champagne Talk","Sad🥺❤️","Playlist","INW272200083","1418IuVKQPTYqt7QNJ9RXN"
"Tere Bina","A.R. Rahman","Guru (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS170601060","4FeczSomVWVyU4FW7xDeAI"
"Tum Ho Toh (From ""Saiyaara"")","Vishal Mishra","Tum Ho Toh (From ""Saiyaara"")","Sad🥺❤️","Playlist","INY092500016","6G8vN5EUtcDxOXOXadF6kp"
"Main Shair To Nahin","Shailendra Singh","Bobby","Sad🥺❤️","Playlist","INH109637830","5YG3JN18pDZGnbSVyWrYqe"
"Kaatilana","Talwiinder","Kaatilana","Sad🥺❤️","Playlist","QT6642550542","4gAYB5yzeYrQ0jz13FmFOV"
"Khuda Jaane","Vishal-Shekhar","Bachna Ae Haseeno","Sad🥺❤️","Playlist","INY090800026","0gPgdRfB4jdGrlyXS0Vx78"
"Itni Si Baat Hain","Pritam","Azhar","Sad🥺❤️","Playlist","INS181600638","3P167vmmGRGKHoy7uDugvy"
"Tujh Mein Rab Dikhta Hai","Salim–Sulaiman","Rab Ne Bana Di Jodi","Sad🥺❤️","Playlist","INY090800053","2LcXJP95e4HKydTZ2mYfrx"
"Shaamat","Ankit Tiwari","Ek Villain Returns","Sad🥺❤️","Playlist","INS182201797","6v5SAmKr4QjRr0K2RdlPFm"
"Kashish","Ashish Bhatia","Kashish","Sad🥺❤️","Playlist","AUBEC2449336","3anHs4ijBd3Iw0E0fBPwtH"
"Aaj Phir","Arijit Singh","Hate Story 2","Sad🥺❤️","Playlist","INS181401228","32SDVo3sSMGPL0IzRA6YTX"
"Saanson Ko","Shaarib Toshi","Zid (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171402346","5LwlAJEkUeJEDBbN14RV6o"
"Tera Hoke Rahoon","Arijit Singh","Long Drive (Bollywood Mix)","Sad🥺❤️","Playlist","INZ031402327","79m9xETVQWp7baP3mZedpI"
"Call Aundi","Yo Yo Honey Singh","Zorawar","Sad🥺❤️","Playlist","INS181600482","4QL3uGdj4WNW40o3Vq33sw"
"Zulfein","Mehul Mahesh","Zulfein","Sad🥺❤️","Playlist","USL4Q2584927","6bwIkFBUUMG7upgPoVlTHt"
"bargad","sufr","bargad","Sad🥺❤️","Playlist","CHF032513191","0Q9rHyEG7lME4y2Fqtuxgl"
"Standing By you","Nish","Standing By you","Sad🥺❤️","Playlist","TCAII2495492","3I46Oyfw9cNDU79xagFaJr"
"Chandni","Sachet Tandon","Chandni","Sad🥺❤️","Playlist","INS182302183","0t8qUG81HRAzlCpftm8Hlk"
"Gerua","Pritam","Dilwale (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171501741","7iLA6PQeQWRjLDHOJgGpj5"
"Zaalima","Arijit Singh","Raees (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031401982","1J9vyEntJ79CppvgUxJs75"
"Heeriye (feat. Arijit Singh)","Jasleen Royal","Heeriye (feat. Arijit Singh)","Sad🥺❤️","Playlist","INW262317690","5PUXKVVVQ74C3gl5vKy9Li"
"Jeene Laga Hoon","Sachin-Jigar","Ramaiya Vastavaiya (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INT101301475","3t3wsY5IdLVzB9WidegJSU"
"Pehli Pehli Baar Mohabbat Ki Hai","Kumar Sanu","Sirf Tum","Sad🥺❤️","Playlist","INS189911186","3UwvL87QcqZD2A5Ipodhzk"
"Be Intehaan","Atif Aslam","Best of Romance: Atif Aslam","Sad🥺❤️","Playlist","INT101202570","04y4IqZt14y7k7pXYE19Zy"
"Bulleya","Pritam","Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]","Sad🥺❤️","Playlist","INS171602235","0Bz7dfqPY4JOGZO3O1j8Wh"
"Taaron Ke Shehar","Neha Kakkar","Taaron Ke Shehar","Sad🥺❤️","Playlist","INS182006274","1r6sFC5J0p9r3jcfIoSGDM"
"Mia Cara","Dhanda Nyoliwala","Mia Cara","Sad🥺❤️","Playlist","INUM72400546","0mN2mYHD4X7TR51fGqhqh7"
"Bholenath - A Love Story","Kaka WRLD","Bholenath (A Love Story)","Sad🥺❤️","Playlist","FR26V2055858","7tmofPELD2LKovM6wU1axP"
"Maula Mere Maula","Roop Kumar Rathod","Anwar","Sad🥺❤️","Playlist","INH100629786","4CGBTtlrjZj7ydpV52cgB4"
"OM","Brodha V","OM","Sad🥺❤️","Playlist","QMDA62571010","64whxGk19WtoxDzHRbcXJI"
"Kabira","Pritam","Yeh Jawaani Hai Deewani","Sad🥺❤️","Playlist","INS181303780","4bD9z9qa4qg9BhryvYWB7c"
"Tu Hi Junoon","Pritam","Dhoom:3","Sad🥺❤️","Playlist","INY091300053","0ANM7OVho2pqsFguo832qb"
"Kesariya (From ""Brahmastra"")","Pritam","Kesariya (From ""Brahmastra"")","Sad🥺❤️","Playlist","INS172203702","6VBhH7CyP56BXjp8VsDFPZ"
"Teri Mitti","B Praak","Kesari (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031405173","6mkgbTsWDSgKkM6zF6Az71"
"Dil Galti Kar Baitha Hai","Jubin Nautiyal","Dil Galti Kar Baitha Hai","Sad🥺❤️","Playlist","INS182101589","7HPM13Xek5XoRWxRzHfvkB"
"Lut Gaye","Jubin Nautiyal","Lut Gaye","Sad🥺❤️","Playlist","INS182100281","2ufLEVbzvEcJ3subW8jBUp"
"Nazar Na Lag Jaaye","Ash King","Stree","Sad🥺❤️","Playlist","INS181801868","0EPTGML5v37lIp97WBMMvD"
"Ambarsariya","Sona Mohapatra","Fukrey","Sad🥺❤️","Playlist","INS181303807","4qRcjFkFqSpLBzcbLDt7HL"
"Enna Sona","A.R. Rahman","OK Jaanu (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171603185","6bdpj89aYEBjhpsenXAsmO"
"Halka Halka","Rahat Fateh Ali Khan","Halka Halka","Sad🥺❤️","Playlist","INS181602055","2Hu0FRBMFDmEhajRzvNN6T"
"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev","Gehra Hua (From ""Dhurandhar"")","Sad🥺❤️","Playlist","INH102506955","0Y6YW1552df031DjV8qBHv"
"Manjha","Vishal Mishra","Manjha","Sad🥺❤️","Playlist","FR10S2097241","4C2ViGRQjyDn4JYPKmQUjp"
"Deewaana Deewaana","A.R. Rahman","Tere Ishk Mein","Sad🥺❤️","Playlist","INS182504117","47RTQoh3pzjhWLUMllNRRJ"
"Sitaare (From ""Ikkis"")","Arijit Singh","Sitaare (From ""Ikkis"")","Sad🥺❤️","Playlist","INS172515504","6WlARP6h4CDVOcY386wW0W"
"Malang Sajna","Sachet Tandon","Malang Sajna","Sad🥺❤️","Playlist","INS182203702","73K33p4Vyz9koXGqmL5eFs"
"Maiyya Mainu","Sachet Tandon","Jersey (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031410016","3ygfdwvBJ2Y5XhJiiHFFZE"
"Iktara (From ""Wake Up Sid"")","Amit Trivedi","I Love You...Forever","Sad🥺❤️","Playlist","INS170900329","0bmp0lE3ArELHqda9PBMVG"
"Tu Pyar Hai Kisi Aur Ka","Anuradha Paudwal","Dil Hai Ke Manta Nahin","Sad🥺❤️","Playlist","INS189110012","5jib3JBR209gQizgISFbrH"
"Iss Tarah","Chaar Diwaari","Iss Tarah","Sad🥺❤️","Playlist","INUM72600115","1hj2XHe0acA4QuAS0HSxsz"
"Tu Hi Meri Shab Hai - From ""Gangster""","Pritam","Gangster (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INH100605328","1ufeADg0jivKpOFiAv3PYg"
